amount,p_month,p_age,p_gender,postal_code_id,id
117406.73708,2015-04-01,>=65,M,6055,8719
69193.14152,2015-05-01,<=24,F,6055,10604
31824.05882,2015-05-01,<=24,M,6055,8141
269038.49432,2015-05-01,25-34,F,6055,1154
148363.49446,2015-05-01,25-34,M,6055,4612
326425.93917,2015-05-01,35-44,F,6055,6536
171546.65799,2015-05-01,35-44,M,6055,2396
372630.19246,2015-05-01,45-54,F,6055,6085
283527.72812,2015-05-01,45-54,M,6055,9613
311999.03702,2015-05-01,55-64,F,6055,451
144614.58572,2015-05-01,55-64,M,6055,6022
257305.24362,2015-05-01,>=65,F,6055,2274
130811.6843,2015-05-01,>=65,M,6055,9023
73416.11728,2015-06-01,<=24,F,6055,8498
35469.30969,2015-06-01,<=24,M,6055,1775
254816.69968,2015-06-01,25-34,F,6055,4378
146965.50106,2015-06-01,25-34,M,6055,9980
334653.18052,2015-06-01,35-44,F,6055,3533
204971.37662,2015-06-01,35-44,M,6055,7430
392847.15202,2015-06-01,45-54,F,6055,17
259531.18274,2015-06-01,45-54,M,6055,5258
322097.46662,2015-06-01,55-64,F,6055,5653
158096.47934,2015-06-01,55-64,M,6055,9355
294723.40224,2015-06-01,>=65,F,6055,7977
163525.86182,2015-06-01,>=65,M,6055,10524
58730.00146,2015-07-01,<=24,F,6055,1982
39991.58052,2015-07-01,<=24,M,6055,8616
286675.4018,2015-07-01,25-34,F,6055,871
168837.10128,2015-07-01,25-34,M,6055,4068
342737.97646,2015-07-01,35-44,F,6055,7746
285246.78402,2015-07-01,35-44,M,6055,3581
418344.67636,2015-07-01,45-54,F,6055,5287
261615.42516,2015-07-01,45-54,M,6055,9228
360020.01462,2015-07-01,55-64,F,6055,188
186759.87548,2015-07-01,55-64,M,6055,5540
249652.50299,2015-07-01,>=65,F,6055,1348
145062.96148,2015-07-01,>=65,M,6055,7877
40958.46136,2015-08-01,<=24,F,6055,9215
29042.08913,2015-08-01,<=24,M,6055,5266
190845.40296,2015-08-01,25-34,F,6055,3489
130696.11908,2015-08-01,25-34,M,6055,7463
229127.12012,2015-08-01,35-44,F,6055,4366
155877.99718,2015-08-01,35-44,M,6055,929
250978.5978,2015-08-01,45-54,F,6055,8642
235929.18196,2015-08-01,45-54,M,6055,2008
192420.08346,2015-08-01,55-64,F,6055,2093
113017.22042,2015-08-01,55-64,M,6055,8883
155347.03971,2015-08-01,>=65,F,6055,330
91835.9665,2015-08-01,>=65,M,6055,5891
71636.83051,2015-09-01,<=24,F,6055,5925
46987.91083,2015-09-01,<=24,M,6055,486
231037.87992,2015-09-01,25-34,F,6055,6785
152765.02806,2015-09-01,25-34,M,6055,2809
342012.2354,2015-09-01,35-44,F,6055,10361
217175.13266,2015-09-01,35-44,M,6055,5056
337304.11538,2015-09-01,45-54,F,6055,1478
219170.36124,2015-09-01,45-54,M,6055,7997
308514.32343,2015-09-01,55-64,F,6055,8232
152398.82562,2015-09-01,55-64,M,6055,10574
210302.66764,2015-09-01,>=65,F,6055,5243
123445.26532,2015-09-01,>=65,M,6055,9069
76358.30262,2015-10-01,<=24,F,6055,265
50549.83761,2015-10-01,<=24,M,6055,5679
255794.37872,2015-10-01,25-34,F,6055,3049
150856.79944,2015-10-01,25-34,M,6055,7212
329496.4757,2015-10-01,35-44,F,6055,3918
258689.1459,2015-10-01,35-44,M,6055,9879
364422.84998,2015-10-01,45-54,F,6055,9055
261827.06222,2015-10-01,45-54,M,6055,2223
354867.98206,2015-10-01,55-64,F,6055,1814
179485.98482,2015-10-01,55-64,M,6055,8471
259022.01208,2015-10-01,>=65,F,6055,9593
153645.3601,2015-10-01,>=65,M,6055,6121
77439.89106,2015-11-01,<=24,F,6055,1538
50097.53992,2015-11-01,<=24,M,6055,8124
253941.78494,2015-11-01,25-34,F,6055,10209
175456.80592,2015-11-01,25-34,M,6055,4592
326825.00382,2015-11-01,35-44,F,6055,6559
272091.02082,2015-11-01,35-44,M,6055,2419
327912.93199,2015-11-01,45-54,F,6055,6105
341741.7468,2015-11-01,45-54,M,6055,574
348824.2952,2015-11-01,55-64,F,6055,9503
194648.72792,2015-11-01,55-64,M,6055,6045
269298.88813,2015-11-01,>=65,F,6055,2243
135729.9672,2015-11-01,>=65,M,6055,8992
83625.38815,2015-12-01,<=24,F,6055,1588
55783.47044,2015-12-01,<=24,M,6055,8328
319810.84076,2015-12-01,25-34,F,6055,990
208711.04154,2015-12-01,25-34,M,6055,4555
417702.3521,2015-12-01,35-44,F,6055,6595
279635.61928,2015-12-01,35-44,M,6055,2701
451206.09351,2015-12-01,45-54,F,6055,6385
291250.24778,2015-12-01,45-54,M,6055,9643
388752.36424,2015-12-01,55-64,F,6055,395
211377.41514,2015-12-01,55-64,M,6055,5832
328636.01888,2015-12-01,>=65,F,6055,2146
175798.57138,2015-12-01,>=65,M,6055,8786
6906.67984,2015-01-01,<=24,F,6062,6334
4650.91998,2015-01-01,<=24,M,6062,9652
52917.85712,2015-01-01,25-34,F,6062,6528
31195.58324,2015-01-01,25-34,M,6062,2388
72355.6807,2015-01-01,35-44,F,6062,1151
64035.66472,2015-01-01,35-44,M,6062,4608
65134.27912,2015-01-01,45-54,F,6062,10647
78712.80348,2015-01-01,45-54,M,6062,8385
47209.15752,2015-01-01,55-64,F,6062,7849
49680.18236,2015-01-01,55-64,M,6062,1393
26300.53948,2015-01-01,>=65,F,6062,5477
28478.6998,2015-01-01,>=65,M,6062,197
7590.44074,2015-02-01,<=24,F,6062,932
6488.87966,2015-02-01,<=24,M,6062,4371
52302.35604,2015-02-01,25-34,F,6062,1732
38348.5185,2015-02-01,25-34,M,6062,8537
65625.4845,2015-02-01,35-44,F,6062,5269
63267.20432,2015-02-01,35-44,M,6062,9218
70463.05914,2015-02-01,45-54,F,6062,7729
61899.88342,2015-02-01,45-54,M,6062,3564
50147.25978,2015-02-01,55-64,F,6062,3130
50340.24022,2015-02-01,55-64,M,6062,7117
19453.54156,2015-02-01,>=65,F,6062,10289
20839.97958,2015-02-01,>=65,M,6062,4805
9125.44074,2015-03-01,<=24,F,6062,4315
8830.18058,2015-03-01,<=24,M,6062,947
42968.14298,2015-03-01,25-34,F,6062,8442
40567.8834,2015-03-01,25-34,M,6062,1870
67404.1842,2015-03-01,35-44,F,6062,9154
66408.32374,2015-03-01,35-44,M,6062,5401
66865.32374,2015-03-01,45-54,F,6062,3698
86476.3821,2015-03-01,45-54,M,6062,7584
54122.51898,2015-03-01,55-64,F,6062,7195
67243.22042,2015-03-01,55-64,M,6062,3108
24029.07986,2015-03-01,>=65,F,6062,4882
27390.47962,2015-03-01,>=65,M,6062,10268
8344.31866,2015-04-01,<=24,F,6062,6865
8339.77916,2015-04-01,<=24,M,6062,2729
58757.13966,2015-04-01,25-34,F,6062,5996
40937.36238,2015-04-01,25-34,M,6062,9480
64713.89886,2015-04-01,35-44,F,6062,10449
67505.0973,2015-04-01,35-44,M,6062,7835
62879.18302,2015-04-01,45-54,F,6062,1189
75217.384,2015-04-01,45-54,M,6062,4880
62198.53838,2015-04-01,55-64,F,6062,4598
54796.8407,2015-04-01,55-64,M,6062,10213
21500.57872,2015-04-01,>=65,F,6062,7571
34084.92124,2015-04-01,>=65,M,6062,3686
12223.58024,2015-05-01,<=24,F,6062,6512
6666.4397,2015-05-01,<=24,M,6062,2447
44417.89718,2015-05-01,25-34,F,6062,6380
34230.44136,2015-05-01,25-34,M,6062,9640
79266.0253,2015-05-01,35-44,F,6062,10614
75779.27688,2015-05-01,35-44,M,6062,8093
78437.78102,2015-05-01,45-54,F,6062,987
83689.88212,2015-05-01,45-54,M,6062,4550
66015.20034,2015-05-01,55-64,F,6062,4982
66778.75936,2015-05-01,55-64,M,6062,10365
24274.0013,2015-05-01,>=65,F,6062,7308
35694.05984,2015-05-01,>=65,M,6062,3321
9751.36048,2015-06-01,<=24,F,6062,3479
8895.44058,2015-06-01,<=24,M,6062,7454
52753.69994,2015-06-01,25-34,F,6062,137
37155.8207,2015-06-01,25-34,M,6062,5276
79972.46102,2015-06-01,35-44,F,6062,8555
73477.28182,2015-06-01,35-44,M,6062,1751
75207.52138,2015-06-01,45-54,F,6062,4075
76225.97434,2015-06-01,45-54,M,6062,9966
65275.60246,2015-06-01,55-64,F,6062,761
76168.37922,2015-06-01,55-64,M,6062,4010
30815.23874,2015-06-01,>=65,F,6062,2921
36560.82046,2015-06-01,>=65,M,6062,7000
8356.2405,2015-07-01,<=24,F,6062,7687
7089.38086,2015-07-01,<=24,M,6062,3608
43729.32066,2015-07-01,25-34,F,6062,5233
47188.58036,2015-07-01,25-34,M,6062,9064
85917.17944,2015-07-01,35-44,F,6062,2039
86431.38186,2015-07-01,35-44,M,6062,8591
68013.62742,2015-07-01,45-54,F,6062,908
78285.85898,2015-07-01,45-54,M,6062,4410
54478.80428,2015-07-01,55-64,F,6062,3809
57072.18168,2015-07-01,55-64,M,6062,9768
28456.46064,2015-07-01,>=65,F,6062,6779
27449.45948,2015-07-01,>=65,M,6062,2803
7891.0201,2015-08-01,<=24,F,6062,4389
6701.73968,2015-08-01,<=24,M,6062,898
46228.2011,2015-08-01,25-34,F,6062,8486
31465.49878,2015-08-01,25-34,M,6062,1763
71848.73986,2015-08-01,35-44,F,6062,9204
70360.56344,2015-08-01,35-44,M,6062,5327
71625.01756,2015-08-01,45-54,F,6062,3627
64924.25724,2015-08-01,45-54,M,6062,7706
39850.02162,2015-08-01,55-64,F,6062,7095
42702.41894,2015-08-01,55-64,M,6062,3209
19545.50012,2015-08-01,>=65,F,6062,4746
16109.90074,2015-08-01,>=65,M,6062,10305
12482.50072,2015-09-01,<=24,F,6062,10328
8678.91982,2015-09-01,<=24,M,6062,5072
55979.24374,2015-09-01,25-34,F,6062,1341
61772.70182,2015-09-01,25-34,M,6062,7862
76314.87718,2015-09-01,35-44,F,6062,5981
73493.59686,2015-09-01,35-44,M,6062,479
84646.00342,2015-09-01,45-54,F,6062,7025
80973.02374,2015-09-01,45-54,M,6062,2947
49650.5817,2015-09-01,55-64,F,6062,2521
42233.71846,2015-09-01,55-64,M,6062,6426
25862.73986,2015-09-01,>=65,F,6062,866
26943.30016,2015-09-01,>=65,M,6062,4059
9024.68118,2015-10-01,<=24,F,6062,3928
4422.07996,2015-10-01,<=24,M,6062,9846
65890.12232,2015-10-01,25-34,F,6062,8761
41738.5993,2015-10-01,25-34,M,6062,2182
74236.84202,2015-10-01,35-44,F,6062,256
77119.89786,2015-10-01,35-44,M,6062,5734
79015.7581,2015-10-01,45-54,F,6062,3367
94943.86342,2015-10-01,45-54,M,6062,7281
58393.09816,2015-10-01,55-64,F,6062,7526
57496.262,2015-10-01,55-64,M,6062,3464
28226.60012,2015-10-01,>=65,F,6062,4521
31460.21966,2015-10-01,>=65,M,6062,1007
9699.68,2015-11-01,<=24,F,6062,6496
5752.90024,2015-11-01,<=24,M,6062,2431
48248.48154,2015-11-01,25-34,F,6062,6366
39643.86268,2015-11-01,25-34,M,6062,583
75150.57504,2015-11-01,35-44,F,6062,1559
87539.24232,2015-11-01,35-44,M,6062,8104
73782.32134,2015-11-01,45-54,F,6062,10068
83131.11816,2015-11-01,45-54,M,6062,4567
69302.28114,2015-11-01,55-64,F,6062,4997
62909.80088,2015-11-01,55-64,M,6062,1284
37558.39752,2015-11-01,>=65,F,6062,7298
34409.69964,2015-11-01,>=65,M,6062,3311
8831.0202,2015-12-01,<=24,F,6062,6618
4986.06028,2015-12-01,<=24,M,6062,2647
48299.05984,2015-12-01,25-34,F,6062,6077
41930.81996,2015-12-01,25-34,M,6062,9607
78583.70384,2015-12-01,35-44,F,6062,10646
78485.199,2015-12-01,35-44,M,6062,8384
89381.12402,2015-12-01,45-54,F,6062,1152
92556.0050600001,2015-12-01,45-54,M,6062,4610
70486.3584,2015-12-01,55-64,F,6062,4869
82345.54036,2015-12-01,55-64,M,6062,10260
44380.03868,2015-12-01,>=65,F,6062,7174
45523.1209,2015-12-01,>=65,M,6062,3087
9874.3007,2015-01-01,<=24,F,6063,2295
12835.5593,2015-01-01,<=24,M,6063,8941
54660.34288,2015-01-01,25-34,F,6063,711
49563.64326,2015-01-01,25-34,M,6063,3744
173057.90222,2015-01-01,35-44,F,6063,7389
152979.50276,2015-01-01,35-44,M,6063,3250
158264.51016,2015-01-01,45-54,F,6063,5614
166418.9258,2015-01-01,45-54,M,6063,9375
64473.46208,2015-01-01,55-64,F,6063,29
102809.60188,2015-01-01,55-64,M,6063,5211
39463.89332,2015-01-01,>=65,F,6063,1522
59586.5181,2015-01-01,>=65,M,6063,8164
11128.93846,2015-02-01,<=24,F,6063,6965
8469.77896,2015-02-01,<=24,M,6063,2994
52481.56548,2015-02-01,25-34,F,6063,5779
46633.22092,2015-02-01,25-34,M,6063,9459
161612.64952,2015-02-01,35-44,F,6063,10487
149846.4649,2015-02-01,35-44,M,6063,8059
159420.17374,2015-02-01,45-54,F,6063,1297
160003.99858,2015-02-01,45-54,M,6063,4927
58179.14402,2015-02-01,55-64,F,6063,4515
91865.82022,2015-02-01,55-64,M,6063,10079
36460.96042,2015-02-01,>=65,F,6063,7523
57483.0165,2015-02-01,>=65,M,6063,3461
7830.43974,2015-03-01,<=24,F,6063,2946
10607.05918,2015-03-01,<=24,M,6063,7024
68360.82597,2015-03-01,25-34,F,6063,9397
70273.94072,2015-03-01,25-34,M,6063,5907
193790.20932,2015-03-01,35-44,F,6063,7940
206086.91552,2015-03-01,35-44,M,6063,10541
180161.47006,2015-03-01,45-54,F,6063,5073
222625.52494,2015-03-01,45-54,M,6063,1239
68382.35722,2015-03-01,55-64,F,6063,10098
135642.94344,2015-03-01,55-64,M,6063,4469
45517.7589,2015-03-01,>=65,F,6063,3495
69354.9167,2015-03-01,>=65,M,6063,7469
8526.60026,2015-04-01,<=24,F,6063,867
12665.32038,2015-04-01,<=24,M,6063,4061
72694.12338,2015-04-01,25-34,F,6063,1994
100352.59786,2015-04-01,25-34,M,6063,8628
199677.81754,2015-04-01,35-44,F,6063,5218
216645.40024,2015-04-01,35-44,M,6063,9089
188056.09774,2015-04-01,45-54,F,6063,7466
232054.00032,2015-04-01,45-54,M,6063,3492
81403.69998,2015-04-01,55-64,F,6063,3259
122752.96571,2015-04-01,55-64,M,6063,7398
39602.31714,2015-04-01,>=65,F,6063,10327
67365.46256,2015-04-01,>=65,M,6063,5071
14867.061,2015-05-01,<=24,F,6063,698
15441.561,2015-05-01,<=24,M,6063,3802
71061.2838,2015-05-01,25-34,F,6063,2369
103518.02326,2015-05-01,25-34,M,6063,8922
206384.38272,2015-05-01,35-44,F,6063,5558
256893.52496,2015-05-01,35-44,M,6063,9245
192358.07388,2015-05-01,45-54,F,6063,7072
257463.73612,2015-05-01,45-54,M,6063,3186
80230.7992,2015-05-01,55-64,F,6063,3606
137729.58556,2015-05-01,55-64,M,6063,7685
46030.51894,2015-05-01,>=65,F,6063,10185
87866.24002,2015-05-01,>=65,M,6063,4680
17526.90092,2015-06-01,<=24,F,6063,4850
17961.19102,2015-06-01,<=24,M,6063,10248
80584.14234,2015-06-01,25-34,F,6063,8053
110679.89744,2015-06-01,25-34,M,6063,1423
221454.0266,2015-06-01,35-44,F,6063,412
258455.62658,2015-06-01,35-44,M,6063,5759
205339.24332,2015-06-01,45-54,F,6063,2742
281207.00428,2015-06-01,45-54,M,6063,6879
86419.67676,2015-06-01,55-64,F,6063,6621
140205.80542,2015-06-01,55-64,M,6063,2650
50272.13806,2015-06-01,>=65,F,6063,4296
95556.51882,2015-06-01,>=65,M,6063,937
17907.8389,2015-07-01,<=24,F,6063,1272
16533.06124,2015-07-01,<=24,M,6063,4977
73938.68184,2015-07-01,25-34,F,6063,10472
107783.66142,2015-07-01,25-34,M,6063,7789
194969.1705,2015-07-01,35-44,F,6063,6073
297278.85424,2015-07-01,35-44,M,6063,9479
192465.32678,2015-07-01,45-54,F,6063,6911
273307.9985,2015-07-01,45-54,M,6063,3034
87753.48362,2015-07-01,55-64,F,6063,2445
146879.88226,2015-07-01,55-64,M,6063,6510
40302.04238,2015-07-01,>=65,F,6063,9930
67606.21004,2015-07-01,>=65,M,6063,4160
17897.55974,2015-08-01,<=24,F,6063,3019
16544.6116,2015-08-01,<=24,M,6063,6896
60589.10416,2015-08-01,25-34,F,6063,9427
92941.7408,2015-08-01,25-34,M,6063,5806
153404.63078,2015-08-01,35-44,F,6063,8036
237000.53632,2015-08-01,35-44,M,6063,10513
148364.91006,2015-08-01,45-54,F,6063,4996
240895.99208,2015-08-01,45-54,M,6063,1283
64595.02292,2015-08-01,55-64,F,6063,10069
123376.68266,2015-08-01,55-64,M,6063,4568
31797.27762,2015-08-01,>=65,F,6063,3395
53787.74176,2015-08-01,>=65,M,6063,7546
20097.95836,2015-09-01,<=24,F,6063,7582
14182.83958,2015-09-01,<=24,M,6063,3696
101399.20014,2015-09-01,25-34,F,6063,5157
98893.90174,2015-09-01,25-34,M,6063,43
220557.94476,2015-09-01,35-44,F,6063,1969
263985.94846,2015-09-01,35-44,M,6063,8692
243996.30724,2015-09-01,45-54,F,6063,10028
274756.51808,2015-09-01,45-54,M,6063,4316
76210.43694,2015-09-01,55-64,F,6063,3896
125907.4873,2015-09-01,55-64,M,6063,663
44422.70266,2015-09-01,>=65,F,6063,6856
80816.75588,2015-09-01,>=65,M,6063,2719
12983.88064,2015-10-01,<=24,F,6063,2597
19948.68046,2015-10-01,<=24,M,6063,6654
74184.18432,2015-10-01,25-34,F,6063,506
117410.0803,2015-10-01,25-34,M,6063,6199
211710.11254,2015-10-01,35-44,F,6063,8273
264751.27112,2015-10-01,35-44,M,6063,1692
206961.93286,2015-10-01,45-54,F,6063,4745
292928.6968,2015-10-01,45-54,M,6063,10172
96318.40462,2015-10-01,55-64,F,6063,1214
138709.84524,2015-10-01,55-64,M,6063,4819
52715.48012,2015-10-01,>=65,F,6063,3132
76195.8749,2015-10-01,>=65,M,6063,7119
10136.47986,2015-11-01,<=24,F,6063,9761
9905.19868,2015-11-01,<=24,M,6063,3788
82144.70326,2015-11-01,25-34,F,6063,2343
97076.48336,2015-11-01,25-34,M,6063,8896
191771.86648,2015-11-01,35-44,F,6063,5578
264712.17538,2015-11-01,35-44,M,6063,163
208507.05658,2015-11-01,45-54,F,6063,7097
267463.48812,2015-11-01,45-54,M,6063,3211
96025.2768,2015-11-01,55-64,F,6063,3625
142771.81456,2015-11-01,55-64,M,6063,7704
50244.46158,2015-11-01,>=65,F,6063,1096
81833.27606,2015-11-01,>=65,M,6063,4662
16808.23764,2015-12-01,<=24,F,6063,745
9125.6605,2015-12-01,<=24,M,6063,3977
66842.74274,2015-12-01,25-34,F,6063,2078
93109.74382,2015-12-01,25-34,M,6063,8867
217546.17228,2015-12-01,35-44,F,6063,5615
251027.71794,2015-12-01,35-44,M,6063,9376
218508.65456,2015-12-01,45-54,F,6063,7387
297036.49354,2015-12-01,45-54,M,6063,3248
119140.9445,2015-12-01,55-64,F,6063,3499
152109.92146,2015-12-01,55-64,M,6063,7473
69743.68234,2015-12-01,>=65,F,6063,10101
82570.73984,2015-12-01,>=65,M,6063,4476
20640.54089,2015-01-01,<=24,F,6065,10567
14697.91954,2015-01-01,<=24,M,6065,8219
142333.66281,2015-01-01,25-34,F,6065,1106
115859.08151,2015-01-01,25-34,M,6065,4677
185194.30968,2015-01-01,35-44,F,6065,6454
185524.39949,2015-01-01,35-44,M,6065,2460
213439.0985,2015-01-01,45-54,F,6065,6151
178551.30096,2015-01-01,45-54,M,6065,9574
123607.7614,2015-01-01,55-64,F,6065,493
105989.94822,2015-01-01,55-64,M,6065,5933
104158.22038,2015-01-01,>=65,F,6065,2365
80762.78116,2015-01-01,>=65,M,6065,8918
14574.21058,2015-02-01,<=24,F,6065,7551
13926.03991,2015-02-01,<=24,M,6065,3400
126412.31319,2015-02-01,25-34,F,6065,5337
116339.0198,2015-02-01,25-34,M,6065,9167
164737.16524,2015-02-01,35-44,F,6065,1813
139529.80582,2015-02-01,35-44,M,6065,8470
178003.2035,2015-02-01,45-54,F,6065,845
179186.45687,2015-02-01,45-54,M,6065,4171
118553.05826,2015-02-01,55-64,F,6065,3916
113186.29101,2015-02-01,55-64,M,6065,9877
100194.08893,2015-02-01,>=65,F,6065,6890
73672.05954,2015-02-01,>=65,M,6065,3013
18065.26965,2015-03-01,<=24,F,6065,3509
18353.25019,2015-03-01,<=24,M,6065,7406
142137.3215,2015-03-01,25-34,F,6065,9197
111221.89083,2015-03-01,25-34,M,6065,5320
174094.07734,2015-03-01,35-44,F,6065,8517
180964.38075,2015-03-01,35-44,M,6065,1794
202543.10665,2015-03-01,45-54,F,6065,4129
188681.22954,2015-03-01,45-54,M,6065,862
124769.43058,2015-03-01,55-64,F,6065,9821
132553.22923,2015-03-01,55-64,M,6065,4055
103531.92682,2015-03-01,>=65,F,6065,2886
96524.47963,2015-03-01,>=65,M,6065,7052
16937.26999,2015-04-01,<=24,F,6065,1271
17041.19994,2015-04-01,<=24,M,6065,5058
120853.90959,2015-04-01,25-34,F,6065,10408
124017.16573,2015-04-01,25-34,M,6065,7925
195694.11109,2015-04-01,35-44,F,6065,5924
175481.82608,2015-04-01,35-44,M,6065,9523
172293.85975,2015-04-01,45-54,F,6065,7048
182171.9286,2015-04-01,45-54,M,6065,2882
108226.42283,2015-04-01,55-64,F,6065,2450
130258.04869,2015-04-01,55-64,M,6065,6444
93914.47882,2015-04-01,>=65,F,6065,9950
80680.78922,2015-04-01,>=65,M,6065,4120
16609.86009,2015-05-01,<=24,F,6065,1079
20405.52143,2015-05-01,<=24,M,6065,4715
133395.15311,2015-05-01,25-34,F,6065,10576
120458.33378,2015-05-01,25-34,M,6065,8159
213414.12384,2015-05-01,35-44,F,6065,6304
219360.39675,2015-05-01,35-44,M,6065,9679
208762.87008,2015-05-01,45-54,F,6065,6681
197937.61009,2015-05-01,45-54,M,6065,2624
144146.14793,2015-05-01,55-64,F,6065,2845
141023.58055,2015-05-01,55-64,M,6065,6752
114354.08245,2015-05-01,>=65,F,6065,9781
118282.34115,2015-05-01,>=65,M,6065,3739
17097.95026,2015-06-01,<=24,F,6065,4271
18436.38948,2015-06-01,<=24,M,6065,10048
134234.5225,2015-06-01,25-34,F,6065,8478
130133.50864,2015-06-01,25-34,M,6065,1821
194221.72894,2015-06-01,35-44,F,6065,112
183378.8387,2015-06-01,35-44,M,6065,5351
206291.98945,2015-06-01,45-54,F,6065,3635
213436.49116,2015-06-01,45-54,M,6065,7625
141965.03205,2015-06-01,55-64,F,6065,7218
126342.49833,2015-06-01,55-64,M,6065,3055
101040.18202,2015-06-01,>=65,F,6065,4917
94011.64923,2015-06-01,>=65,M,6065,1172
15513.53995,2015-07-01,<=24,F,6065,819
15907.31986,2015-07-01,<=24,M,6065,4223
129376.01995,2015-07-01,25-34,F,6065,1958
117431.90157,2015-07-01,25-34,M,6065,8681
188247.1461,2015-07-01,35-44,F,6065,5148
174615.15142,2015-07-01,35-44,M,6065,9100
201771.57053,2015-07-01,45-54,F,6065,7503
223406.55172,2015-07-01,45-54,M,6065,3441
123736.92337,2015-07-01,55-64,F,6065,3344
124450.07314,2015-07-01,55-64,M,6065,7258
94529.94723,2015-07-01,>=65,F,6065,10396
89544.64263,2015-07-01,>=65,M,6065,4956
8132.96983,2015-08-01,<=24,F,6065,3467
10180.77993,2015-08-01,<=24,M,6065,7529
88876.66365,2015-08-01,25-34,F,6065,9155
75953.8082,2015-08-01,25-34,M,6065,5403
98047.00751,2015-08-01,35-44,F,6065,8401
119474.4188,2015-08-01,35-44,M,6065,1829
82229.07975,2015-08-01,45-54,F,6065,4189
130942.1418,2015-08-01,45-54,M,6065,803
51223.341,2015-08-01,55-64,F,6065,9848
83644.24882,2015-08-01,55-64,M,6065,3932
44679.00097,2015-08-01,>=65,F,6065,2989
42955.66937,2015-08-01,>=65,M,6065,6960
19995.85086,2015-09-01,<=24,F,6065,6842
25943.82974,2015-09-01,<=24,M,6065,2794
136116.8059,2015-09-01,25-34,F,6065,6063
119344.16017,2015-09-01,25-34,M,6065,433
217583.76944,2015-09-01,35-44,F,6065,1399
189694.05479,2015-09-01,35-44,M,6065,7762
208332.9798,2015-09-01,45-54,F,6065,10225
200617.73103,2015-09-01,45-54,M,6065,4898
116701.33973,2015-09-01,55-64,F,6065,4616
122890.7592,2015-09-01,55-64,M,6065,1110
121555.99245,2015-09-01,>=65,F,6065,7649
89169.69821,2015-09-01,>=65,M,6065,3659
19965.49051,2015-10-01,<=24,F,6065,3204
19151.96019,2015-10-01,<=24,M,6065,7090
146182.51681,2015-10-01,25-34,F,6065,298
139666.15895,2015-10-01,25-34,M,6065,5665
196037.59562,2015-10-01,35-44,F,6065,8816
198639.39175,2015-10-01,35-44,M,6065,2105
197460.52997,2015-10-01,45-54,F,6065,3784
212682.30149,2015-10-01,45-54,M,6065,9758
135484.64412,2015-10-01,55-64,F,6065,895
141304.66909,2015-10-01,55-64,M,6065,4386
150680.8829,2015-10-01,>=65,F,6065,2580
89503.01897,2015-10-01,>=65,M,6065,6731
17964.66979,2015-11-01,<=24,F,6065,10164
22194.7493,2015-11-01,<=24,M,6065,4736
132305.58761,2015-11-01,25-34,F,6065,1529
125943.46074,2015-11-01,25-34,M,6065,8180
201493.36111,2015-11-01,35-44,F,6065,6287
204945.07877,2015-11-01,35-44,M,6065,614
187654.85956,2015-11-01,45-54,F,6065,6648
182390.53455,2015-11-01,45-54,M,6065,2591
